Column1,Column2,열1
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome,Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src/main/java/sm/chromeScreentime/model,screentime_chrome/backend/src/main/java/sm/chromeScreentime/model at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/frontend,screentime_chrome/frontend at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/model,screentime_chrome/model at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/model/data,screentime_chrome/model/data at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/blob/main/backend/src/main/java/sm/chromeScreentime/model/UrlData.java,screentime_chrome/UrlData.java at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src/main/java/sm/chromeScreentime,screentime_chrome/backend/src/main/java/sm/chromeScreentime at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/blob/main/backend/src/main/java/sm/chromeScreentime/ChromeScreentimeApplication.java,screentime_chrome/ChromeScreentimeApplication.java at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src/main/java/sm/chromeScreentime/testmongo,screentime_chrome/backend/src/main/java/sm/chromeScreentime/testmongo at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/blob/main/backend/src/main/java/sm/chromeScreentime/testmongo/Customer.java,screentime_chrome/Customer.java at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src/main,screentime_chrome/backend/src/main at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src,screentime_chrome/backend/src at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend/src/test/java/sm/chromeScreentime,screentime_chrome/backend/src/test/java/sm/chromeScreentime at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/blob/main/backend/src/test/java/sm/chromeScreentime/ChromeScreentimeApplicationTests.java,screentime_chrome/ChromeScreentimeApplicationTests.java at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/tree/main/backend,screentime_chrome/backend at main · Noonsong-carpal-turner-syndrome/screentime_chrome,6
https://github.com/,GitHub,6
https://programmers.co.kr/,프로그래머스,6
https://snowboard.sookmyung.ac.kr/login.php?errorcode=4,SnowBoard,6
https://sookmyung-ac-kr.zoom.us/j/81545789581?pwd=N3JKMkN5M29NTHVCcmJnb2t6dGh2dz09&uname=%EA%B9%80%EC%98%81%EB%B9%88%281613362%29#success,회의 시작 - Zoom,6
https://zuminternet.github.io/Zum-Chrome-Extension/,크롬 확장프로그램 개발⛏️ 회고,
https://github.com/login,Sign in to GitHub · GitHub,6
https://www.jobplanet.co.kr/job,"채용정보 - 대기업 공채, 중견기업 중소기업 스타트업 채용공고, 복지, 연봉, 리뷰, 면접후기, 기업 정보, 기업뉴스까지 제공하는 구인구직 사이트 | 잡플래닛",6
https://snowboard.sookmyung.ac.kr/login/index.php,SnowBoard,6
https://snowboard.sookmyung.ac.kr/mod/zoom/view.php?id=1014153,SnowBoard,6
https://www.ybmnet.co.kr/common/login.asp?url=%2Findex.php&what=www.toeic.co.kr,YBM Family 로그인,
https://www.twitch.tv/,Twitch,1
https://www.tumblbug.com/yeonhan_postcard?ref=discover,"익숙한 동네에서 새로운 발걸음을<연한, 나의 동네 엽서집> 텀블벅 - 크리에이터를 위한 크라우드펀딩",4
https://www.tumblbug.com/trashgirl?ref=%EB%A9%94%EC%9D%B8%2F%EA%B3%B5%EA%B0%9C%EC%98%88%EC%A0%95,이딴 단어로 프로포즈를? [방금 프로포즈 발명! 쓰레기걸] 텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://www.tumblbug.com/rhea?ref=discover,"단청 무늬의 재해석, 1인 홈카페 세트 텀블벅 - 크리에이터를 위한 크라우드펀딩",4
https://www.tumblbug.com/plycozy03?ref=%EB%A9%94%EC%9D%B8%2F%EC%9D%B8%EA%B8%B0%EC%B6%94%EC%B2%9C,여성 500명의 목소리가 녹아든 친환경 모달 브라렛&트렁크 텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://www.tumblbug.com/peco?ref=%EB%A9%94%EC%9D%B8%2F%EC%84%B1%EA%B3%B5%EC%9E%84%EB%B0%95,"무드등 화분으로 다시 태어난 코르크, < PECO > 텀블벅 - 크리에이터를 위한 크라우드펀딩",4
https://www.tumblbug.com/pauseproject2_1?ref=discover,"컬러로 만나는 일러스트 비건 레시피북, <베지 컬러스> 텀블벅 - 크리에이터를 위한 크라우드펀딩",4
https://www.tumblbug.com/login?redirection=%2Fcinelabmovie100%3Fref%3D%25EB%25A9%2594%25EC%259D%25B8%252F%25EA%25B3%25B5%25EA%25B0%259C%25EC%2598%2588%25EC%25A0%2595,텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/blob/main/model/_Okt_LSTM_model.ipynb,screentime_chrome/_Okt_LSTM_model.ipynb at main · Noonsong-carpal-turner-syndrome/screentime_chrome · GitHub,6
https://github.com/Noonsong-carpal-turner-syndrome/screentime_chrome/commit/ebc1bc0940537e6b01e977a434b7ff8c12083a6a,2021.04.13 · Noonsong-carpal-turner-syndrome/screentime_chrome@ebc1bc0 · GitHub,6
https://github.com/explore,Explore GitHub · GitHub,6
https://github.com/randallkk,randallkk (Randall),6
https://github.com/Noonsong-carpal-turner-syndrome,Noonsong-carpal-turner-syndrome · GitHub,6
https://snowboard.sookmyung.ac.kr/mod/zoom/loadmeeting.php?id=1014153,회의 시작 - Zoom,6
https://sookmyung-ac-kr.zoom.us/j/81545789581?pwd=N3JKMkN5M29NTHVCcmJnb2t6dGh2dz09&uname=%EA%B9%80%EC%98%81%EB%B9%88%281613362%29,회의 시작 - Zoom,6
https://snowboard.sookmyung.ac.kr/course/view.php?id=56507,SnowBoard,6
https://snowboard.sookmyung.ac.kr/login/index.php?testsession=163627,SnowBoard,6
https://snowboard.sookmyung.ac.kr/,SnowBoard,6
https://gall.dcinside.com/mini/board/view/?id=mining&no=7578&s_type=search_subject_memo&s_keyword=3070&page=5,그래픽카드 바꿔달았는데 메인보드 고장 - 채굴 갤러리,3
https://www.tumblbug.com/jinho2021?ref=discover,첼리스트 홍진호의 2021년 첫 단독 공연을 함께해 주세요 텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://www.tumblbug.com/horay?ref=discover,호래이 복을 담은 민화 자개 공예 키트 텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://www.tumblbug.com/everroses?ref=%EB%A9%94%EC%9D%B8%2F%EC%9D%B8%EA%B8%B0%EC%B6%94%EC%B2%9C,에버로즈 가드닝 키트 & 로자리안 레시 인형 텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://catchdream.tistory.com/163,[스프링 기반 REST API 개발 #02] EVENT REST API,3
https://blog.daum.net/techtip/12415219,Technology tips and QnA,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7451&s_type=search_subject_memo&s_keyword=3070&page=5,원금 회수는 포기했다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=5&search_pos=&s_type=search_subject_memo&s_keyword=3070,채굴 미니 갤러리,3
https://www.tumblbug.com/discover?sort=popular&editorPick=1&ongoing=onGoing,텀블벅 - 크리에이터를 위한 크라우드펀딩,4
https://gall.dcinside.com/mini/board/view/?id=mining&no=7565&s_type=search_subject_memo&s_keyword=3070&page=5,3070 셋팅 지적좀 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7577&s_type=search_subject_memo&s_keyword=3070&page=5,같은 3070 온도 이리 차이나는데 정상이노..? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=4&search_pos=&s_type=search_subject_memo&s_keyword=3070,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7781&s_type=search_subject_memo&s_keyword=3070&page=4,존버 집어치우고 그냥 3070 급으로 사서 지금이라도 개인야굴ㄱㄱ? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=3&search_pos=&s_type=search_subject_memo&s_keyword=3070,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7910&s_type=search_subject_memo&s_keyword=3070&page=3,3070 채굴돌리는데 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7938&s_type=search_subject_memo&s_keyword=3070&page=3,3070 그때 그가격 ㅋㅋ - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=2&search_pos=&s_type=search_subject_memo&s_keyword=3070,채굴 미니 갤러리,3
https://www.tumblbug.com/cinelabmovie100?ref=%EB%A9%94%EC%9D%B8%2F%EA%B3%B5%EA%B0%9C%EC%98%88%EC%A0%95,"색다른 영화 기록지, <씨네랩 무비 스크래치 100> 텀블벅 - 크리에이터를 위한 크라우드펀딩",4
https://gall.dcinside.com/mini/board/view/?id=mining&no=8199&s_type=search_subject_memo&s_keyword=3070&page=2,3070 해쉬좀 봐줄수있음? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8376&s_type=search_subject_memo&s_keyword=3070&page=2,3070 당근에 100에 판 호구인데 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&s_type=search_subject_memo&s_keyword=3070,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8313&s_type=search_subject_memo&s_keyword=3070&page=1,오늘 글카온김에 채굴좀 병행해보려는데 세팅을 꼭 해야해? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8290&s_type=search_subject_memo&s_keyword=3070&page=1,대규모로 하는 갤럼들은 7월에 어케하려는거? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8323&s_type=search_subject_memo&s_keyword=3070&page=1,형님들 채굴하는데 이더리움 손실 1/10 뜨면 오버 조절해야하나요? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8492&s_type=search_subject_memo&s_keyword=3070&page=1,3070 셋팅 그대로 두는게 좋을까? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8470&s_type=search_subject_memo&s_keyword=3070&page=1,3070 한대 지금 채굴량으론 한달 10만원이나 벌겟네 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8491&s_type=search_subject_memo&s_keyword=3070&page=1,채린이 3070 세팅값좀... 봐주셈 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&sort_type=N&page=1,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8499&page=1,이런 세팅은 어떻게 하는거야? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&sort_type=N&search_head=40&page=1,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=4452&search_head=40&page=1,3070 어로스마스터 세팅 이렇게 하면됨? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8491&search_head=40&page=1,채린이 3070 세팅값좀... 봐주셈 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=6477&search_head=40&page=1,레이븐 채굴 정보 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8392&search_head=40&page=1,채린이 세팅값 공유함 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists?id=mining,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/lists?id=mining&exception_mode=recommend,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=6920&exception_mode=recommend&page=1,오늘의 꿀팁 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=3589&exception_mode=recommend&page=1,병신같은 코인 왤케 광고해대 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=2734&exception_mode=recommend&page=1,지금 채굴하는건 매우 비추천합니다(정보글) - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1900&exception_mode=recommend&page=1,ethermine 미세팁 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1808&exception_mode=recommend&page=1,광질해서 번돈으로 착한일함 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1451&exception_mode=recommend&page=1,레이븐 코인 채굴 방법 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1525&exception_mode=recommend&page=1,암호화폐 전부 거품임 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=671&exception_mode=recommend&page=1,(원컴채굴충 필독) 원컴 채굴도우미 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1333&exception_mode=recommend&page=1,개인용 컴터로 채굴돌리는 게이들을 위한 내장그래픽 팁 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=1348&exception_mode=recommend&page=1,제발 남들 세팅은 참고만 해 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=2706&exception_mode=recommend&page=1,컴퓨터 채굴 효율 끝판왕! 레이븐 코인에 대해 알아보아요 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=2709&exception_mode=recommend&page=1,이더리움 돈이 된다길래 돌려봤는데 개구라네 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=4087&exception_mode=recommend&page=1,피버타임 떴다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=4796&exception_mode=recommend&page=1,정보) 채산성이 떨어지면 해쉬를 늘리면 된다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=4920&exception_mode=recommend&page=1,채굴갤러리 문닫습니다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=5315&exception_mode=recommend&page=1,❗잠시 스크롤을 멈추십쇼❗ - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=5871&exception_mode=recommend&page=1,6800xt 59해시 110w로 쓰는법 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=6748&exception_mode=recommend&page=1,전기 계산도 못하는 개병신 빡대가리새끼들은 다 봐라 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=6612&exception_mode=recommend&page=1,채굴하는새끼들 이상한거 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=7892&exception_mode=recommend&page=1,채굴 망했다는게 드립인줄 알았는데 진챠 망함 ㅇ - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=1,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8530&page=1,마풀허 이더마인 반반채굴 해보는중 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8528&page=1,Current 좀 그만 물어봐 시발 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8535&page=1,여름에 집에서 채굴할 때 주의할 점 있음? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8541&page=1,"6시간째 기다림,,, - 채굴 갤러리",3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=2,채굴 미니 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8442&page=2,피닉스마이너 만든놈이랑 이더마인 만든놈 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8446&page=2,나만 이더리움 채굴되는거 떨어짐? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8449&page=2,안정화 된줄 알았는데 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8466&page=2,채산성은 35% 떨어졌고 이더는 40% 정도 올랐는데 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8473&page=2,돈 벌려면 코인 단타쳐야지 여긴 쫄보들만 있어서 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8486&page=2,형님들 커린이 채굴 처음 해보는데 잘 되고 있는거 맞나요? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8488&page=2,채굴을 단타마냥보는새끼들이 좀 보이네 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8492&page=2,3070 셋팅 그대로 두는게 좋을까? - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8494&page=1,본인 3070 한대 채산성 200 아래로 깨짐.. - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8497&page=1,ㄹㅇ 개같다 메인보드 as 연락왔는데 리퍼재고도 없다네 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8516&page=1,여기서 시비걸지말고 진짜 채굴장을 가서 싸움걸어라 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8526&page=1,야굴 아저씨들 불쌍한 그래픽카드들 좀 풀어주세요 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8531&page=1,돔망춰...! - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8532&page=1,잠시 채굴기를 끄고 청소를 할 시간입니다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8539&page=1,티몬 3070 3개 샀다 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8015&s_type=search_subject_memo&s_keyword=%EC%98%A8%EB%8F%84&page=3,팁)메모리 온도 낮추는 방법 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/view/?id=mining&no=8083&s_type=search_subject_memo&s_keyword=%EC%98%A8%EB%8F%84&page=3,3070 메모리 온도 안나오는데 - 채굴 갤러리,3
https://gall.dcinside.com/mini/board/lists/?id=mining&page=3&search_pos=&s_type=search_subject_memo&s_keyword=%EC%98%A8%EB%8F%84,채굴 미니 갤러리,3
